127.0.0.1 - - [05/Dec/2018:15:35:48 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:14:03 +0530] "GET /QueryTrain/checkroute.jsp?source=Mandya&destination=Bangalore&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:14:03 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:17:55 +0530] "GET /QueryTrain/checkroute.jsp?source=Mandya&destination=Bangalore&submit=SUBMIT HTTP/1.1" 500 2854
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:26 +0530] "GET /QueryTrain/checkroute.jsp?source=Mandya&destination=Bangalore&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:27 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:34 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Bangalore&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:34 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:44 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:22:44 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:23:46 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:23:46 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:23:53 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:23:53 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:25:47 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 500 4292
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:25:54 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 500 4292
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:25:58 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 500 4292
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:28:17 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:28:17 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:28:27 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:28:27 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:00 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:00 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:04 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:04 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:08 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:08 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:09 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:20 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:22 +0530] "GET /QueryTrain/checktrainsvia.jsp HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:23 +0530] "GET /QueryTrain/checkroute.jsp HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:29 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:29:55 +0530] "GET /QueryTrain/checkroute.jsp?source=Mangalore&destination=Hassan&submit=SUBMIT HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [05/Dec/2018:16:30:27 +0530] "GET /QueryTrain/checkroute.jsp?source=Mandya&destination=Bangalore&submit=SUBMIT HTTP/1.1" 200 2503
